id,spare_code,spare_category,spare_name_th,spare_name_en,spare_description,spare_location,spare_brand,spare_model,spare_dealer,spare_price,spare_pic,spare_amount,spare_min,spare_install_date,spare_start_work,spare_stop_work,note,status
55,BS-18,Pump,ปั๊มป้อนน้ำเข้าหม้อต้มไอ#2,Electric Feed Boiler Pump #2,,Boiler Station,Speck pumpen,es5008,,,engine.png,,,,2015-09-20,,,Active
56,BS-19,Chain Conveyor,ลางลำเลียงเส้นใย #1,Fuel Conveyor #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
57,BS-20,Chain Conveyor,ลางลำเลียงเส้นใย #2,Fuel Conveyor #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
58,BS-21,Screw Conveyor,ลางลำเลียงเส้นใย #3,Fuel  Conveyor #3 (Screw),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
59,BS-22,,เครื่องกระจายเส้นใย,Walking Floor,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
60,BS-23,Chain Conveyor,ลางลำเลียงเส้นใย #4,Fuel Conveyor #4,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
61,BS-24,Chain Conveyor,ลางขนย้ายเส้นใย,Fuel Transfer Conveyor,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
62,BS-25,,เครื่องแบ่งปริมาณเส้นใย,Pendulum,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
63,BS-26,,เครื่องแบ่งลม,Puffing,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
64,BS-27,Boiler,หม้อน้ำ,Boiler,,Boiler Station,Doilermech,,,,engine.png,,,,2015-09-20,,,Active
65,BS-28,,ปล่องเก็บเสียง,Boiler Silencer,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
66,BS-29,Blower,พัดลมป้อนใย,F.F.  Fan (Fuel Feeder Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
67,BS-30,Blower,พัดลมอัดอากาศ,S. A. Fan  (Secondary Air  Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
68,BS-31,Blower,พัดลมดูดควัน,I.D. Fan (Induced Draft Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
69,BS-32,Blower,พัดลมเป่าใต้ตะกรับ,F.D. Fan (Forced Draft Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
70,BS-33,,เครื่องกันลมขี้เถ้า #1,Air Lock Ash #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
71,BS-34,,เครื่องกันลมขี้เถ้า #2,Air Lock Ash #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
72,BS-35,Screw Conveyor,สกรูลำเลียงขี้เถ้า #1,Ash Conveyor #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
73,BS-36,Screw Conveyor,สกรูลำเลียงขี้เถ้า #2,Ash Conveyor #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
74,BS-37,,ปล่องควัน,Chimney,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
75,BS-38,,ปั๊มลม #3,Air Compresser#3,,Boiler Station,,,,,engine.png,,,,,,,Active
76,BS-39,Chain Conveyor,รางลำเลียงเส้นใย5,Fuel #5,,Boiler Station,,,,,engine.png,,,,,,,Active
77,BS-40,,Bunner,Bunner,,Boiler Station,,,,,engine.png,,,,,,,Active
78,BS-41,Boiler,เครื่องอุ่นน้ำร้อน1,Economizer 1,,Boiler Station,,,,,engine.png,,,2018-12-06,2020-01-29,,,Active
79,BS-42,Boiler,เครื่องอุ่นน้ำร้อน2,Economizer 2,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
80,BS-43,Boiler,เครื่องอุ่นน้ำร้อน3,Economizer 3,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
81,BS-44,Blower,ชุดอุ่นอากาศ,Air Preheater,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
82,BS-45,Blower,เครื่องควบคุมปิด-เปิดลม 1,Damper 1,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
83,BS-46,Blower,เครื่องควบคุมปิด-เปิดลม 2,Damper 2,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
84,BS-47,Blower,เครื่องควบคุมปิด-เปิดลม 3,Damper 3,,Boiler Station,,,,,engine.png,,,2018-12-06,,,,Active
85,BS-48,Air  Compressor,ปั้มลม #4,Air  Compressor #4,,Boiler Station,,PP-315 520L,,,engine.png,,,2019-03-21,2019-03-23,,,Active
86,BS-49,Boiler,ถังพักน้ำ #2,Boiler Stock Tank #2,,Boiler Station,,,,,engine.png,,,,,,,Active
87,CS-01,,ถังตกจม #2,Vertical Clarifier Setting Tank#2,,Tank,,,,,engine.png,,,,,,,Active
88,CS-02,Tank,ถังสลัดจ์,Sludge Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
89,CS-03,Pump,ปั๊มสลัดจ์ #1,Siudge Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
90,CS-04,Pump,ปั๊มสลัดจ์ #2,Siudge Pump #2,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
91,CS-05,Cyclone,เครื่องแยกทราย #2,Sand Cyclone #2,,Clarification Station,Westfarial,,,,engine.png,,,,2015-09-20,,,Active
92,CS-06,Cyclone,ถังป้อนสลัดจ์เครื่องแยก 3 สถานะ,Sludge Buffer Tank,,Clarification Station,Westfarial,,,,engine.png,,,,2015-09-20,,,Active
93,CS-07,Excavator,เครื่องแยก 3 สถานะ,Decanter#1,,Clarification Station,Westfarial,,,,engine.png,,,,2015-09-20,,,Active
94,CS-08,Separetor,เครื่องแยก 3 สถานะ#2,Decanter#2,,Clarification Station,Westfarial,,,,engine.png,,,,2015-09-20,,,Active
95,CS-09,Screw Conveyor,สกรูลำเลียงกากตะกอน #1,Decanter Cake Conveyor #1,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
96,CS-10,Screw Conveyor,สกรูลำเลียงกากตะกอน #2,Decanter Cake Conveyor #2,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
97,CS-11,Tank,ถังน้ำมันตีกลับ,Reclaim Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
98,CS-12,Pump,ปั๊มน้ำมันตีกลับ #1,Reclaim Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
99,CS-13,Tank,ถังน้ำมันเก็บกลับ,Recovery Buffer Tank,,Clarification Station,HSS,,,,engine.png,,,,,,,Active
100,CS-14,Pump,ปั๊มน้ำมันเก็บกลับ #1,Recovery Buffer Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,,,,Active
101,CS-15,Pump,ปั๊มน้ำมันเก็บกลับ #2,Recovery Buffer Pump #2,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,,,,Active
102,CS-16,Tank,ถังน้ำมัน,Pure Oil Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
103,CS-17,Pump,ปั๊มน้ำมันกลับ,Oil Recycling Pump,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
104,CS-18,Pump,ปั๊มป้อนน้ำมัน #1,Purifile Feed Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Wait_technician
105,CS-19,Pump,ปั๊มป้อนน้ำมัน #2,Purifile Feed Pump #2,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
106,CS-20,Separetor,เครื่องทำให้น้ำมันบริสุทธิ์,Purifier,,Clarification Station,Westfarial,OSD-35,,,engine.png,,,,2015-09-20,,,Wait_technician
107,CS-21,Tank,ถังลูกลอย,Float Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
108,CS-22,Tank,ถังสูญญากาศ,Vacuum Tank,,Clarification Station,HSS,HSS/VOD15-970-MS,,,engine.png,,,,2015-09-20,,,Active
109,CS-23,Pump,ปั๊มสูญญากาศ #1,Vacuum Dryer  Pump #1,,Clarification Station,Pump,,,,engine.png,,,,2015-09-20,,,Active
110,CS-24,Pump,ปั๊มสูญญากาศ #2,Vacuum Dryer  Pump #2,,Clarification Station,Pump,,,,engine.png,,,,2015-09-20,,,Active
111,CS-25,Pump,ปั๊มส่งน้ำมัน#1,Oil Tranfer Pump #1,,Clarification Station,Pump,,,,engine.png,,,,2015-09-20,,,Active
112,CS-26,Pump,ปั๊มส่งน้ำมัน#2,Oil Tranfer Pump #2,,Clarification Station,Pump,,,,engine.png,,,,,,,Active
113,CS-27,Tank,ถังน้ำร้อน,Hot Watetr Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
114,CS-28,Tank,ถังแยกน้ำมัน,Deoiling Tank,,Clarification Station,HSS,,,,engine.png,,,,2015-09-20,,,Wait_technician
115,CS-29,Pit,บ่อสลัดจ์,Sludge Pit,,Clarification Station,,,,,engine.png,,,,2015-09-20,,,Active
116,CS-30,Pump,ปั๊มสลัดจ์ #1,Sludge Pit Pump #1,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
117,CS-31,Pump,ปั๊มสลัดจ์ #2,Sludge Pit Pump #2,,Clarification Station,Kew Pump,KS-SE3-SEK,,,engine.png,,,,2015-09-20,,,Active
118,CS-32,,บ่อน้ำเสีย,Waste Water Pit,,Clarification Station,,,,,engine.png,,,,,,,Active
